category,title,creator,publication_year,description,user_id
album,Blue Breaker,Dr. Sarai Langosh,1949,Et et expedita non aut quo.,1
book,Joe Treat,Blaise Lesch,1968,Voluptatem adipisci qui velit.,1
album,Kreb-Full-o Been,Ms. Trevion Buckridge,2016,Vero consectetur delectus consequatur id aut accusantium unde excepturi.,1
album,Wake-up Pie,Timmy Streich I,1919,Voluptatem consequatur qui consectetur nisi officiis culpa.,1
album,Major Cup,Jayde Bartoletti,1944,Quis recusandae cum est facere consequatur minima magni et.,1
book,Summer Select,Ms. Gwendolyn Ortiz,1946,Et molestiae eos nam odit aut sed.,1
album,Holiday Choice,Alexandria Lehner,1940,Excepturi voluptas ut voluptatum.,1
book,Postmodern Blend,Meredith Brekke,1970,Dolorem fugit accusantium qui.,1
book,Green Forrester,Raquel Hirthe,1933,Omnis qui quia odio.,1
album,Winter Mug,Tia Weissnat II,1990,Laboriosam autem iusto quae sed voluptate et.,1
book,Red Pie,Davon Kub,1961,Id dolorem qui laborum quia.,1
album,Major Equinox,Queen Satterfield,1997,Fugit perferendis est quam sunt porro vel rerum.,1
book,Melty Breaker,Montana Dickinson Sr.,1991,Perferendis harum fuga corporis.,1
book,Winter Pie,Mr. Syble Kuhn,1970,Incidunt molestias deserunt laudantium.,1
album,Goodbye Utopia,Orion Spencer,1962,Praesentium enim pariatur voluptatem sed quod dolorum.,1
album,Green Select,Berneice Jenkins,1957,Hic repudiandae molestiae id nulla aliquid maiores necessitatibus.,1
book,Blacktop Enlightenment,Seamus D'Amore,1928,Ea id cumque et pariatur magni nemo dolorem.,1
album,Express Extract,Dorothy Jast I,1969,Dolores dolorum aut ea aperiam et voluptatem.,1
album,Winter Been,Mackenzie Wilkinson,1932,Culpa repudiandae et at sint et amet fugiat et.,1
book,Heart Mug,Orpha Douglas,2009,Qui voluptas alias quia.,1
album,Blue Treat,Eliseo Gorczany,1979,Sit est quis veniam saepe.,1
book,Hello Town,Laury Walter,2005,Est sed ut asperiores sed fugiat.,1
album,Blacktop Choice,Casey Feil,2008,Temporibus ex maxime labore quam et natus quia ipsum.,1
book,Huggy Star,Nigel Lesch DVM,1962,Voluptatem ea aspernatur nesciunt ipsa quis error corporis placeat.,1
